소분류,세부분류,업체명,주소,전화번호,사업자등록일,업데이트일,정제주소
일반음식점,호프/통닭,인생술집,"인천광역시 서구 신석로 81, 한송빌딩 1층 일부호 (석남동) ", ,2025-06-30,2025-07-02 04:11:19,인천광역시 서구 신석로 81 한송빌딩 1층 (석남동)
일반음식점,한식,아부찌 부대찌개,"인천광역시 서구 승학로 444, 104호 (검암동) ", ,2025-06-30,2025-07-02 04:11:19,인천광역시 서구 승학로 444/104호 (검암동)
일반음식점,한식,두찜 인천석남점,"인천광역시 서구 신석로77번길 12, 월드프라자 102호 (석남동) ", ,2025-06-30,2025-07-02 04:11:19,인천광역시 서구 신석로77번길 12 월드프라자 102호 (석남동)
일반음식점,일식,삼정목 인하대점,"인천광역시 미추홀구 경인남길30번길 91, 1층 일부호 (용현동) ", ,2025-06-30,2025-07-02 04:11:19,인천광역시 미추홀구 경인남길30번길 91/1층 (용현동)
일반음식점,분식,문방구집아들방구맨 인천도화서화초점,"인천광역시 미추홀구 숙골로 124, 와이지타워 1층 105호 (도화동) ", ,2025-06-30,2025-07-02 04:11:19,인천광역시 미추홀구 숙골로 124 와이지타워 1층 105호 (도화동)
일반음식점,호프/통닭,청춘치킨,"인천광역시 부평구 부흥북로 96, 1층 101호 (부평동, 빌리지M) ", ,2025-06-30,2025-07-02 04:11:17,인천광역시 부평구 부흥북로 96/1층 101호 (부평동 빌리지M)
일반음식점,기타,샐러리아(SALARIA) 인천부평점,"인천광역시 부평구 부평대로 134, 105호 (부평동, 산 누리빌) ", ,2025-06-30,2025-07-02 04:11:14,인천광역시 부평구 부평대로 134/105호 (부평동 산 누리빌)
일반음식점,호프/통닭,바베큐치킨포차,"인천광역시 계양구 봉오대로691번길 30, C동 1층 일부호 (작전동) ", ,2025-06-30,2025-07-02 04:11:02,인천광역시 계양구 봉오대로691번길 30 C동 1층 (작전동)
일반음식점,한식,구운정생선구이,"인천광역시 서구 검단로 783-1, 1층 일부호 (불로동) ", ,2025-06-30,2025-07-02 04:10:58,인천광역시 서구 검단로 783-1/1층 (불로동)
일반음식점,기타,편장군족발,"인천광역시 남동구 호구포로800번길 13, 1층 일부호 (구월동) ", ,2025-06-27,2025-06-29 04:11:44,인천광역시 남동구 호구포로800번길 13/1층 (구월동)
일반음식점,경양식,라피자 일피노,"인천광역시 연수구 하모니로 271, 송도 코스테이 주건축물 제1동 101호 (송도동) ", ,2025-06-27,2025-06-29 04:11:36,인천광역시 연수구 하모니로 271 송도 코스테이 주건축물 제1동 101호 (송도동)
